CVE_SUN,NOM_SUN
M01.01,Aguascalientes
M01.01,Aguascalientes
M01.01,Aguascalientes
M02.03,Tijuana
M02.03,Tijuana
M02.03,Tijuana
M02.02,Mexicali
M02.01,Ensenada
M03.01,La Paz
M04.01,Campeche
M05.01,La Laguna
M05.03,Piedras Negras
M05.02,Monclova-Frontera
M05.01,La Laguna
M05.01,La Laguna
M05.02,Monclova-Frontera
M05.03,Piedras Negras
M05.02,Monclova-Frontera
M05.04,Saltillo
M05.02,Monclova-Frontera
M05.04,Saltillo
M05.04,Saltillo
M06.01,Colima-Villa de Álvarez
M06.01,Colima-Villa de Álvarez
M06.01,Colima-Villa de Álvarez
M06.01,Colima-Villa de Álvarez
M06.02,Tecomán
M06.01,Colima-Villa de Álvarez
M06.02,Tecomán
M07.02,Tuxtla Gutiérrez
M07.02,Tuxtla Gutiérrez
M07.01,Tapachula
M07.02,Tuxtla Gutiérrez
M07.02,Tuxtla Gutiérrez
M07.02,Tuxtla Gutiérrez
M08.01,Chihuahua
M08.03,Hidalgo del Parral
M08.01,Chihuahua
M08.02,Delicias
M08.01,Chihuahua
M08.02,Delicias
M08.03,Hidalgo del Parral
M08.04,Juárez
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M10.01,Durango
M05.01,La Laguna
M05.01,La Laguna
M11.05,San Francisco del Rincón
M11.01,Celaya
M11.03,León
M16.01,La Piedad-Pénjamo
M11.04,Moroleón-Uriangato
M11.05,San Francisco del Rincón
M11.01,Celaya
M11.03,León
M22.01,Querétaro
M11.01,Celaya
M11.04,Moroleón-Uriangato
M11.01,Celaya
M11.02,Guanajuato
M12.01,Acapulco
M12.02,Chilpancingo
M12.02,Chilpancingo
M12.01,Acapulco
M13.01,Pachuca
M13.03,Tulancingo
M13.01,Pachuca
M13.02,Tula
M13.03,Tulancingo
M13.02,Tula
M09.01,Valle de México
M13.02,Tula
M13.01,Pachuca
M13.01,Pachuca
M13.01,Pachuca
M13.03,Tulancingo
M13.02,Tula
M13.01,Pachuca
M13.02,Tula
M13.01,Pachuca
M14.01,Guadalajara
M14.02,Ocotlán
M14.01,Guadalajara
M14.02,Ocotlán
M14.01,Guadalajara
M14.01,Guadalajara
M14.01,Guadalajara
M14.02,Ocotlán
M14.01,Guadalajara
M14.01,Guadalajara
M14.01,Guadalajara
M14.01,Guadalajara
M14.01,Guadalajara
M14.03,Puerto Vallarta
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M09.01,Valle de México
M15.02,Toluca
M09.01,Valle de México
M15.01,Tianguistenco
M09.01,Valle de México
M15.01,Tianguistenco
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.01,Tianguistenco
M15.02,Toluca
M15.02,Toluca
M09.01,Valle de México
M15.02,Toluca
M15.02,Toluca
M15.01,Tianguistenco
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.01,Tianguistenco
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.01,Tianguistenco
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M09.01,Valle de México
M15.02,Toluca
M15.02,Toluca
M09.01,Valle de México
M09.01,Valle de México
M16.02,Morelia
M16.02,Morelia
M16.03,Zamora
M16.02,Morelia
M16.03,Zamora
M16.01,La Piedad-Pénjamo
M17.01,Cuautla
M17.01,Cuautla
M17.01,Cuautla
M17.02,Cuernavaca
M17.01,Cuautla
M17.02,Cuernavaca
M17.02,Cuernavaca
M17.01,Cuautla
M17.02,Cuernavaca
M17.02,Cuernavaca
M17.02,Cuernavaca
M17.02,Cuernavaca
M17.01,Cuautla
M17.02,Cuernavaca
M14.03,Puerto Vallarta
M18.01,Tepic
M18.01,Tepic
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
M19.01,Monterrey
